date,rainfall_mm,temperature_max_c,rainfall_source,tmax_source,soil_moisture_m3m3,soil_moisture_source
2021-02-10,0.0,31.46,IMD gridded 0.25deg (REAL_GOVERNMENT),IMD gridded 1deg (REAL_GOVERNMENT),0.26,ERA5-Land via Open-Meteo (REAL_PUBLIC; no IMD soil-moisture grid)
2021-02-11,0.0,31.15,IMD gridded 0.25deg (REAL_GOVERNMENT),IMD gridded 1deg (REAL_GOVERNMENT),0.26,ERA5-Land via Open-Meteo (REAL_PUBLIC; no IMD soil-moisture grid)
2021-02-12,0.0,31.7,IMD gridded 0.25deg (REAL_GOVERNMENT),IMD gridded 1deg (REAL_GOVERNMENT),0.263,ERA5-Land via Open-Meteo (REAL_PUBLIC; no IMD soil-moisture grid)
2021-02-13,0.0,32.07,IMD gridded 0.25deg (REAL_GOVERNMENT),IMD gridded 1deg (REAL_GOVERNMENT),0.259,ERA5-Land via Open-Meteo (REAL_PUBLIC; no IMD soil-moisture grid)
2021-02-14,0.0,32.04,IMD gridded 0.25deg (REAL_GOVERNMENT),IMD gridded 1deg (REAL_GOVERNMENT),0.258,ERA5-Land via Open-Meteo (REAL_PUBLIC; no IMD soil-moisture grid)
2021-02-15,0.0,31.96,IMD gridded 0.25deg (REAL_GOVERNMENT),IMD gridded 1deg (REAL_GOVERNMENT),0.258,ERA5-Land via Open-Meteo (REAL_PUBLIC; no IMD soil-moisture grid)
2021-02-16,0.0,29.79,IMD gridded 0.25deg (REAL_GOVERNMENT),IMD gridded 1deg (REAL_GOVERNMENT),0.257,ERA5-Land via Open-Meteo (REAL_PUBLIC; no IMD soil-moisture grid)
2021-02-17,8.0,26.89,IMD gridded 0.25deg (REAL_GOVERNMENT),IMD gridded 1deg (REAL_GOVERNMENT),0.314,ERA5-Land via Open-Meteo (REAL_PUBLIC; no IMD soil-moisture grid)
2021-02-18,1.36,27.44,IMD gridded 0.25deg (REAL_GOVERNMENT),IMD gridded 1deg (REAL_GOVERNMENT),0.355,ERA5-Land via Open-Meteo (REAL_PUBLIC; no IMD soil-moisture grid)
2021-02-19,0.35,26.85,IMD gridded 0.25deg (REAL_GOVERNMENT),IMD gridded 1deg (REAL_GOVERNMENT),0.349,ERA5-Land via Open-Meteo (REAL_PUBLIC; no IMD soil-moisture grid)
