fy,fy_start_year,fy_quarter,quarter_start,production_t,non_fines_t,fines_t,basis,source_documents,producer,scope,mineral,temporal_resolution,provenance
2020-21,2020,4,2021-01-01,403000.0,342000.0,61000.0,derived: cumulative difference,Quantitative Details for the year 2021-22 [stated previous FY] minus Quantitative Details for the quarter ended 31.12.2021 [stated April-to-date (previous year)],MOIL Ltd.,company total (all mines),manganese ore,quarter,REAL_MOIL_PUBLIC
2021-22,2021,1,2021-04-01,254000.0,212000.0,42000.0,stated cumulative,Quantitative Details for the quarter ended 30.06.2022 [stated April-to-date (previous year)],MOIL Ltd.,company total (all mines),manganese ore,quarter,REAL_MOIL_PUBLIC
2021-22,2021,2,2021-07-01,259000.0,216000.0,42000.0,derived: cumulative difference,Quantitative Details for the quarter ended 30.09.2022 [stated April-to-date (previous year)] minus Quantitative Details for the quarter ended 30.06.2022 [stated April-to-date (previous year)],MOIL Ltd.,company total (all mines),manganese ore,quarter,REAL_MOIL_PUBLIC
2021-22,2021,3,2021-10-01,344000.0,292000.0,53000.0,derived: cumulative difference,Quantitative Details for the quarter ended 31.12.2022 [stated April-to-date (previous year)] minus Quantitative Details for the quarter ended 30.09.2022 [stated April-to-date (previous year)],MOIL Ltd.,company total (all mines),manganese ore,quarter,REAL_MOIL_PUBLIC
2021-22,2021,4,2022-01-01,374000.0,306000.0,69000.0,derived: cumulative difference,Quantitative Details for the year 2022-23 [stated previous FY] minus Quantitative Details for the quarter ended 31.12.2022 [stated April-to-date (previous year)],MOIL Ltd.,company total (all mines),manganese ore,quarter,REAL_MOIL_PUBLIC
2022-23,2022,1,2022-04-01,322000.0,268000.0,54000.0,stated cumulative,Quantitative Details for the quarter ended 30.06.2023 [stated April-to-date (previous year)],MOIL Ltd.,company total (all mines),manganese ore,quarter,REAL_MOIL_PUBLIC
2022-23,2022,2,2022-07-01,241000.0,205000.0,36000.0,derived: cumulative difference,Quantitative Details for the quarter ended 30.09.2023 [stated April-to-date (previous year)] minus Quantitative Details for the quarter ended 30.06.2023 [stated April-to-date (previous year)],MOIL Ltd.,company total (all mines),manganese ore,quarter,REAL_MOIL_PUBLIC
2022-23,2022,3,2022-10-01,337000.0,283000.0,54000.0,derived: cumulative difference,Quantitative Details for the quarter ended 31.12.2023 [stated April-to-date (previous year)] minus Quantitative Details for the quarter ended 30.09.2023 [stated April-to-date (previous year)],MOIL Ltd.,company total (all mines),manganese ore,quarter,REAL_MOIL_PUBLIC
2022-23,2022,4,2023-01-01,402000.0,340000.0,62000.0,derived: cumulative difference,Quantitative Details for the year 2023-24 [stated previous FY] minus Quantitative Details for the quarter ended 31.12.2023 [stated April-to-date (previous year)],MOIL Ltd.,company total (all mines),manganese ore,quarter,REAL_MOIL_PUBLIC
2023-24,2023,1,2023-04-01,436000.0,360000.0,76000.0,stated cumulative,Quantitative Details for the quarter ended 30.06.2024 [stated April-to-date (previous year)],MOIL Ltd.,company total (all mines),manganese ore,quarter,REAL_MOIL_PUBLIC
2023-24,2023,2,2023-07-01,378000.0,328000.0,50000.0,derived: cumulative difference,Quantitative Details for the quarter ended 30.09.2024 [stated April-to-date (previous year)] minus Quantitative Details for the quarter ended 30.06.2024 [stated April-to-date (previous year)],MOIL Ltd.,company total (all mines),manganese ore,quarter,REAL_MOIL_PUBLIC
2023-24,2023,3,2023-10-01,459000.0,392000.0,67000.0,derived: cumulative difference,Quantitative Details for the quarter ended 31.12.2024 [stated April-to-date (previous year)] minus Quantitative Details for the quarter ended 30.09.2024 [stated April-to-date (previous year)],MOIL Ltd.,company total (all mines),manganese ore,quarter,REAL_MOIL_PUBLIC
2023-24,2023,4,2024-01-01,483000.0,395000.0,88000.0,derived: cumulative difference,Quantitative Details for the year 2024-25 [stated previous FY] minus Quantitative Details for the quarter ended 31.12.2024 [stated April-to-date (previous year)],MOIL Ltd.,company total (all mines),manganese ore,quarter,REAL_MOIL_PUBLIC
2024-25,2024,1,2024-04-01,470000.0,389000.0,81000.0,stated cumulative,Quantitative Details for the quarter ended 30.06.2025 [stated April-to-date (previous year)],MOIL Ltd.,company total (all mines),manganese ore,quarter,REAL_MOIL_PUBLIC
2024-25,2024,2,2024-07-01,400000.0,351000.0,49000.0,derived: cumulative difference,Quantitative Details for the quarter ended 30.09.2025 [stated April-to-date (previous year)] minus Quantitative Details for the quarter ended 30.06.2025 [stated April-to-date (previous year)],MOIL Ltd.,company total (all mines),manganese ore,quarter,REAL_MOIL_PUBLIC
2024-25,2024,3,2024-10-01,460000.0,376000.0,84000.0,derived: cumulative difference,Quantitative Details for the quarter ended 31.12.2025 [stated April-to-date (previous year)] minus Quantitative Details for the quarter ended 30.09.2025 [stated April-to-date (previous year)],MOIL Ltd.,company total (all mines),manganese ore,quarter,REAL_MOIL_PUBLIC
2024-25,2024,4,2025-01-01,473000.0,375000.0,98000.0,derived: cumulative difference,Quantitative Details for the year 2025-26 [stated previous FY] minus Quantitative Details for the quarter ended 31.12.2025 [stated April-to-date (previous year)],MOIL Ltd.,company total (all mines),manganese ore,quarter,REAL_MOIL_PUBLIC
2025-26,2025,1,2025-04-01,502000.0,442000.0,60000.0,stated cumulative,Quantitative Details for the quarter ended 30.06.2026 [stated April-to-date (previous year)],MOIL Ltd.,company total (all mines),manganese ore,quarter,REAL_MOIL_PUBLIC
2025-26,2025,2,2025-07-01,442000.0,394000.0,48000.0,derived: cumulative difference,Quantitative Details for the quarter ended 30.09.2025 [stated April-to-date (Sr. Particulars Unit 30.09.2025 30.09.20)] minus Quantitative Details for the quarter ended 30.06.2026 [stated April-to-date (previous year)],MOIL Ltd.,company total (all mines),manganese ore,quarter,REAL_MOIL_PUBLIC
2025-26,2025,3,2025-10-01,477000.0,400000.0,77000.0,derived: cumulative difference,Quantitative Details for the quarter ended 31.12.2025 [stated April-to-date (Sr. Particulars Unit 31.12.2025 31.12.20)] minus Quantitative Details for the quarter ended 30.09.2025 [stated April-to-date (Sr. Particulars Unit 30.09.2025 30.09.20)],MOIL Ltd.,company total (all mines),manganese ore,quarter,REAL_MOIL_PUBLIC
2025-26,2025,4,2026-01-01,486000.0,388000.0,98000.0,derived: cumulative difference,Quantitative Details for the quarter ended 30.06.2026 [stated previous FY] minus Quantitative Details for the quarter ended 31.12.2025 [stated April-to-date (Sr. Particulars Unit 31.12.2025 31.12.20)],MOIL Ltd.,company total (all mines),manganese ore,quarter,REAL_MOIL_PUBLIC
2026-27,2026,1,2026-04-01,507000.0,414000.0,93000.0,stated cumulative,Quantitative Details for the quarter ended 30.06.2026 [stated April-to-date (Sr. Particulars Unit 30.06.2026 30.06.20)],MOIL Ltd.,company total (all mines),manganese ore,quarter,REAL_MOIL_PUBLIC
