dep_id,site_name,dev_stat,lat,lon,commodities,url,label_use
10003833,Amatola,Occurrence,21.76615,80.11701,MN,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10003833,POSITIVE
10003834,Banjari,Occurrence,21.8828,80.31701,MN,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10003834,POSITIVE
10003835,Banjartola,Past Producer,21.95779,80.27534,MN,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10003835,POSITIVE
10003836,Barbaspur,Occurrence,21.79947,80.10867,MN,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10003836,POSITIVE
10003837,Bharweli,Past Producer,21.81614,80.18367,MN,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10003837,POSITIVE
10003838,Bharweli,Occurrence,21.8328,80.23367,MN,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10003838,POSITIVE
10003839,Bijora,Occurrence,21.97446,80.38367,MN,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10003839,POSITIVE
10003840,Birsola,Occurrence,21.87447,80.11701,MN,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10003840,POSITIVE
10003842,Chiklajhori,Occurrence,21.94946,80.40033,MN,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10003842,POSITIVE
10003843,Dhapewata,Occurrence,21.89114,80.19201,MN,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10003843,POSITIVE
10003844,Dongargaon,Occurrence,21.71615,80.08367,MN,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10003844,POSITIVE
10003845,Enkatola,Occurrence,21.36618,80.16701,MN,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10003845,POSITIVE
10003847,Ghondi,Past Producer,21.91613,80.417,MN,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10003847,POSITIVE
10003848,Gongalpara,Occurrence,21.89946,80.30034,MN,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10003848,POSITIVE
10003849,Gulla Hurki,Occurrence,21.87864,79.99202,MN,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10003849,POSITIVE
10003850,Hirapur,Occurrence,21.84947,80.24201,MN,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10003850,POSITIVE
10003851,Jaitpuri,Occurrence,22.01612,80.36701,MN,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10003851,POSITIVE
10003853,Kanatola,Occurrence,21.87447,80.35034,MN,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10003853,POSITIVE
10003854,Katangi,Occurrence,21.76615,79.80035,MN,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10003854,POSITIVE
10003855,Kera,Occurrence,21.74948,80.11701,MN,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10003855,POSITIVE
